res,e,h,b,v,lr,H,t,cell,mech,red,ipt,c,cn,cl
-0.005691056915869315,5,3,9,27,6.823989245608421e-06,0.593462290139159,0.0002869294347381807,gru,gs,none,structured,False,6,62
-0.025203252211213112,9,5,10,47,0.7228803369381919,0.12386273120733685,0.0004530088888196265,rnn,reinforce,none,structured,True,4,74
-0.012195121807356676,10,4,2,22,8.161259158743698e-07,0.22988618618477924,0.09361272378836559,lstm,reinforce,none,one-hot,False,5,81
-0.01138211383173863,5,6,8,40,2.1944485972649423e-05,0.9104849373712542,5.194655876481865e-07,gru,gs,mean,one-hot,False,3,10
-0.017073170902828377,9,6,6,57,2.261046272456107e-05,0.9452334740303298,1.0396549777096513e-05,gru,gs,none,one-hot,False,6,99
-0.016260162616769474,9,3,3,61,7.983818657932444e-06,0.7310183533064479,0.029731984196223478,gru,gs,mean,structured,False,6,44
-0.013008130248636007,7,8,8,35,1.7126344902045646e-05,0.388506750683013,0.9717912949139998,rnn,reinforce,mean,structured,False,3,53
-0.01869918716450532,5,6,3,61,0.35263386405178915,0.6192986419656102,5.364580023798143e-06,rnn,reinforce,mean,structured,True,3,20
-0.02195121968785922,3,5,2,10,0.11634661401185033,0.5028924922907033,0.003120650962397558,rnn,gs,mean,one-hot,False,3,85
-0.023577235639095306,6,4,2,7,0.19378112382038484,0.8053209775709187,8.380668772527868e-07,rnn,gs,mean,one-hot,True,3,58
-0.018699186854064465,10,10,10,4,1.0,0.3716699330889992,3.365323558553101e-06,rnn,gs,mean,one-hot,True,7,10
-0.02195121968785922,10,1,10,24,1.0,0.6925504926084435,9.025151468509228e-05,lstm,reinforce,none,one-hot,True,2,29
-0.01951219482968251,10,10,10,64,0.012847970534936078,0.7852403692508987,0.0009432243329921798,rnn,gs,none,one-hot,True,4,53
-0.02032520342618227,1,1,10,64,1.0,0.7567302367259295,2.8680994043587877e-08,gru,reinforce,mean,structured,False,7,21
-0.02195121968785922,6,1,0,24,0.9147184987578287,0.9345858459702491,1.3637167311323577,lstm,gs,mean,one-hot,True,4,47
-0.022764227042595547,9,9,4,60,0.04882271097010377,0.4142646086093996,0.014252204009033048,rnn,reinforce,mean,one-hot,False,6,18
-0.020325203115741413,10,10,5,64,1.0,0.04442016403655943,6.264325127979334,lstm,gs,none,structured,True,3,99
-0.024390242993831635,10,3,1,45,1.0,0.12174899572101013,9.996701359287139,rnn,reinforce,none,structured,True,7,86
-0.025203252211213112,6,10,7,33,0.03626292947309742,0.9544749192240631,0.29360730909823274,rnn,reinforce,mean,structured,True,2,22
-0.014634146355092525,5,2,9,14,0.001111683149198448,0.6206904307405927,4.750595708804191e-06,rnn,reinforce,none,structured,True,4,52
-0.019512195140123367,10,10,2,39,0.8697955652455438,0.12327197541590923,0.0034295427541658724,gru,gs,none,structured,False,6,60
-0.021138211712241173,8,10,7,42,0.2039031505102757,0.34124073327710086,0.00275128646165806,rnn,gs,none,one-hot,False,6,39
-0.004878048785030842,1,3,0,61,1.1438480443924747e-08,0.9371105726059341,0.0007527301599930793,lstm,reinforce,none,one-hot,False,6,21
-0.01869918716450532,1,10,7,22,0.006517481880615986,0.971325921358182,0.003459192311413408,lstm,gs,none,structured,True,5,80
-0.021138211401800316,5,10,2,4,1.0,0.4098997670193995,7.132200509401109e-08,rnn,reinforce,none,structured,True,2,51
-0.02032520342618227,10,1,0,34,0.005859969707317968,0.16404660855397138,1.895227513569444e-08,gru,gs,mean,one-hot,False,6,96
-0.017073170902828377,9,2,10,36,0.05513798152292533,0.4293990273052151,0.327374734218465,gru,reinforce,none,structured,True,4,69
-0.027642276138067245,1,8,7,13,0.9221935655508537,0.6425276804818586,0.010755870935602516,gru,gs,none,structured,False,4,80
-0.019512195140123367,1,1,5,4,1.0,0.9661133373084854,2.6811026644477177e-08,gru,reinforce,mean,structured,True,5,69
-0.01951219482968251,1,7,3,27,1.0,0.4014527186676647,0.0022731236959428673,gru,reinforce,none,one-hot,True,5,93
-0.0040650406541923685,6,9,5,32,1.0459629030437422e-08,0.36564721860390964,5.613049320757195e-07,rnn,gs,none,structured,False,2,83
-0.013008130093415579,10,7,5,42,1.1717131710459597e-08,0.9938292358303881,7.493190360982127,rnn,gs,mean,one-hot,True,4,11
-0.02032520342618227,1,4,10,33,0.9582902721442597,0.33338410441226535,3.6422830329325473,lstm,reinforce,mean,structured,False,3,11
-0.014634146355092525,1,10,7,60,0.00022423780495649083,0.6695939669746301,0.24637601535620457,lstm,reinforce,mean,structured,True,5,62
-0.021138211091359455,1,1,9,11,0.9822859478654014,0.2355934047283486,2.41969563324171e-08,lstm,gs,mean,one-hot,True,4,54
-0.024390243614713352,3,10,8,25,0.8223994574392908,0.8174801501116437,5.48567012686462e-05,lstm,gs,none,structured,False,5,16
-0.017073170902828377,9,10,2,20,0.7450298589406846,0.9328897495241651,6.223246653439729e-08,gru,reinforce,none,one-hot,True,4,11
-0.019512195140123367,1,2,9,8,0.9431514790011983,0.4661619252718304,0.001706285432099151,rnn,gs,none,structured,True,2,60
-0.023577235639095306,4,8,0,35,1.0,0.07591603947631227,5.103485924188041e-06,gru,gs,none,structured,False,2,77
-0.015447154641151428,8,4,8,12,1.0,0.05643735601788335,0.169470854956476,rnn,reinforce,mean,one-hot,False,2,98
-0.019512195140123367,1,4,3,4,0.08584817455534595,0.8221513946610035,0.0059957300096651865,gru,gs,none,one-hot,False,7,39
-0.05203252099454403,10,9,0,5,0.0005434939938545657,0.6279492291486106,2.3567609360673563e-06,lstm,reinforce,mean,structured,False,6,15
-0.01951219482968251,6,9,0,54,0.0004183294072975102,0.0,7.455584866634836,rnn,reinforce,none,one-hot,False,5,96
-0.024390244235595066,10,10,7,4,0.002583610369630217,0.2725802062710001,1e-08,rnn,gs,none,one-hot,False,3,92
-0.015447154641151428,1,10,1,9,0.0008378505140898052,0.097646706930299,0.003269277323124338,lstm,gs,mean,one-hot,True,6,12
-0.016260162616769474,7,6,1,41,0.0014381008564842367,0.9854903057740259,0.0013019708769332731,lstm,reinforce,none,structured,False,5,9
-0.017073170592387516,10,10,1,4,0.00015009847097466038,0.9436176266167429,0.016291995144640012,gru,gs,mean,one-hot,True,5,96
-0.014634146355092525,10,6,2,4,0.00027803422520087626,0.25094443148858936,0.00033293097155865384,gru,gs,none,one-hot,False,4,8
-0.014634146355092525,1,3,0,36,0.005981844310074407,0.617229990693095,2.5597334153004168e-06,rnn,reinforce,none,structured,True,7,15
-0.02845528411368529,1,10,0,16,0.0005411793481164817,0.017111566239471618,6.173947057849707e-06,lstm,reinforce,mean,structured,False,7,8
-0.0666666670391957,10,8,0,34,0.001246120282872806,0.9457281955387028,0.0335310115386513,gru,reinforce,mean,structured,False,2,8
-0.013008130093415579,10,1,6,11,0.002314599037901421,0.29993046650172817,5.12613322949891e-07,lstm,reinforce,mean,structured,True,3,48
-0.015447154641151428,7,10,0,39,4.7625097295221515e-06,1.0,2.12792512864501e-07,lstm,reinforce,mean,structured,False,2,8
-0.01626016292721033,10,1,6,39,0.0011900222976532673,0.11377834179488441,0.0010051312453918748,rnn,reinforce,mean,one-hot,False,2,75
-0.023577235639095306,10,9,8,33,0.0019938748038945534,0.35167861546334034,5.059051571755515e-07,gru,reinforce,mean,structured,False,2,82
-0.05609756180395683,3,10,7,60,0.0012478455668708996,1.0,2.389424033469698e-05,gru,gs,mean,one-hot,False,7,8
-0.019512195140123367,9,5,0,28,0.001978663093822827,1.0,0.0004330712554685648,lstm,reinforce,mean,one-hot,False,7,8
-0.01788617887844642,8,9,2,22,0.0026412051683790396,0.9561547876087872,4.18650224015123,lstm,reinforce,mean,structured,False,4,22
-0.015447154641151428,10,2,4,57,0.0009979976368679568,0.9709763457260826,8.625509090147373e-05,lstm,gs,mean,one-hot,False,2,64
-0.015447154641151428,9,8,5,49,0.0009351816826839135,0.9661880908702125,0.0013597612238385732,lstm,reinforce,mean,structured,False,3,17
-0.0219512190669775,10,6,8,56,0.0010877709783455424,0.19772857722749124,1.1400085030752635e-08,gru,reinforce,mean,one-hot,False,6,18
-0.002439024392515421,7,1,4,4,1.4958536645174725e-08,0.7515978240421214,0.11634777763256508,gru,reinforce,none,structured,True,6,74
-0.008943089284002781,10,10,0,18,3.7388996852258926e-08,0.9917749059667157,0.005146198329970168,lstm,reinforce,mean,one-hot,False,2,22
-0.02032520342618227,6,4,9,29,0.0020479255787116397,0.9265492440825055,0.00015532673858981795,gru,gs,mean,one-hot,False,6,79
-0.019512195140123367,4,7,9,17,0.002017575506321114,0.9193065470227934,1.1326034033553214e-08,gru,reinforce,none,structured,False,4,8
-0.006504065046707789,5,10,2,57,1.587830107534132e-08,0.20172818626109829,0.3834337057900633,gru,gs,none,one-hot,True,6,96
-0.006504065046707789,9,1,5,12,2.5283264050603485e-06,0.36019544969696476,1.8255523104539565e-07,rnn,reinforce,mean,one-hot,True,6,25
-0.016260162616769474,1,10,0,5,0.003606546066049429,0.7696996708837768,0.3918490501564987,gru,gs,mean,structured,False,3,8
-0.01626016292721033,10,10,6,64,0.0031625273863894387,0.4624037664709789,3.736941893182043e-07,gru,gs,mean,structured,False,6,8
-0.12032520274321239,10,8,0,17,0.00025559257214156206,0.807651103250356,0.285207006571024,gru,gs,mean,structured,False,2,27
-0.017073171213269234,9,7,0,23,1.4625879783932526e-06,0.5378789540785105,0.016021398349606305,gru,gs,mean,structured,False,2,55
-0.12682926654815674,10,10,5,10,0.00014775350343747452,0.6444271975418301,6.557422498549689,rnn,gs,mean,structured,False,2,86
-0.01300812978297472,10,2,6,10,0.00011463430156321017,0.04888598653465935,7.4124095220367945,gru,reinforce,mean,structured,False,2,83
-0.014634146355092525,10,5,2,12,0.0008652669822895857,0.760027495874304,10.0,rnn,gs,none,structured,True,4,100
-0.00650406489148736,10,6,2,18,1.6562198647228423e-08,0.7242209538820796,10.0,lstm,gs,mean,structured,False,2,92
-0.018699186854064465,10,5,7,57,0.00010513397898998448,0.7421568988405971,10.0,rnn,gs,mean,structured,False,2,88
-0.01138211383173863,10,4,10,10,0.00026583381741501386,0.7508094174778719,10.0,lstm,reinforce,none,structured,False,4,34
-0.08455284436543782,10,10,0,10,0.00023422575970026303,0.744242372276542,9.645921059938408,rnn,gs,mean,structured,False,6,97
-0.07804878056049347,10,10,2,10,0.00020440501143682832,0.7466784496854283,10.0,rnn,gs,mean,structured,False,2,53
-0.014634146355092525,10,9,6,13,0.00015963197989972042,0.3321754910081469,0.5949878405236488,lstm,gs,mean,structured,False,2,30
-0.016260162616769474,10,4,7,20,0.0002610028864098858,0.6581366767370791,0.9913256978816171,rnn,gs,mean,structured,True,6,18
-0.014634146355092525,10,8,4,16,0.0001903045541131091,0.7388864858378034,0.5146438861040503,lstm,gs,mean,structured,False,2,23
-0.019512195140123367,10,6,5,9,0.00013535781467867634,0.3661380614484499,1.9253101791031764,rnn,gs,mean,structured,True,7,69
-0.01788617918888728,10,9,4,6,0.08782289507018697,0.8260859648310492,0.1462519624374651,lstm,gs,none,structured,False,2,61
-0.019512195140123367,10,9,6,10,0.0004125414082660034,0.9883539502700363,3.476957572311824e-08,rnn,gs,mean,one-hot,False,7,18
-0.021138211091359455,10,10,6,20,0.00011044748012829364,0.9467066383244446,0.12290950252638123,lstm,reinforce,mean,structured,False,5,95
-0.07479674555361271,10,10,8,28,0.00024913805958768725,0.7001998996110463,1.2599134259117225e-05,gru,gs,mean,structured,False,3,31
-0.015447154641151428,10,10,1,9,0.00034337206864412006,0.6019035686363828,8.237465758435925e-05,rnn,gs,mean,structured,True,3,100
-0.016260162616769474,10,6,6,59,0.006454180569931112,0.8452566794702475,4.0455830415538394e-05,gru,gs,mean,structured,False,2,33
-0.014634146355092525,10,10,7,8,0.00016747202848766971,0.6834941789879561,9.743103606152168,lstm,gs,mean,structured,False,2,50
-0.014634146355092525,1,1,2,4,0.00015428314032421374,0.622712902634072,2.2943709931481258,rnn,gs,mean,structured,False,5,95
-0.002439024392515421,5,10,10,63,8.336483034271079e-07,0.31350167898349984,2.227115065461628,rnn,reinforce,none,one-hot,False,2,90
-0.020325202805300552,4,10,2,6,0.0001826309293723698,0.6081179601467686,9.19144862116561e-06,rnn,gs,mean,one-hot,False,4,99
-0.009756097570061684,10,8,6,4,1.3102537207906438e-08,0.6158701681380965,0.9767854156491643,rnn,reinforce,none,structured,False,5,100
-0.014634146355092525,10,3,2,22,8.390596355816071e-05,0.5277275718224443,0.0011453738465860592,rnn,gs,mean,structured,False,6,15
-0.021138211712241173,8,10,9,12,0.00020649765727084817,0.9329753151852693,0.00017244431261796914,rnn,reinforce,mean,structured,False,2,95
-0.008130081153164307,10,7,7,20,4.346315560850517e-08,0.7179220044378293,0.008102078637594969,gru,gs,mean,structured,False,5,52
-0.016260162306328613,6,9,5,26,0.0003237654843223503,0.9251801324729442,0.06893783795078375,gru,reinforce,mean,structured,False,4,96
-0.02032520342618227,10,7,7,9,9.32864539629022e-05,0.45123369285457743,0.00020555394163823473,rnn,reinforce,mean,structured,False,4,97
-0.17317073543866476,10,8,4,36,0.00024763485285998505,0.41277806205789813,0.11956935111876617,gru,gs,mean,structured,False,2,11
